InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
536532,21983,PACK OF 12 BLUE PAISLEY TISSUES ,48,2010-12-01 13:24:00,0.29,12433,Norway,13.919999999999998
536532,22494,EMERGENCY FIRST AID TIN ,24,2010-12-01 13:24:00,1.25,12433,Norway,30.0
536532,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433,Norway,13.2
536539,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,2010-12-01 14:03:00,2.95,15165,United Kingdom,17.700000000000003
536540,22493,PAINT YOUR OWN CANVAS SET,24,2010-12-01 14:05:00,1.65,14911,EIRE,39.6
536557,22731,3D CHRISTMAS STAMPS STICKERS ,1,2010-12-01 14:41:00,1.25,17841,United Kingdom,1.25
536557,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,1,2010-12-01 14:41:00,1.25,17841,United Kingdom,1.25
536557,21495,SKULLS AND CROSSBONES WRAP,25,2010-12-01 14:41:00,0.42,17841,United Kingdom,10.5
536560,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,6,2010-12-01 15:00:00,2.95,13093,United Kingdom,17.700000000000003
536561,22780,LIGHT GARLAND BUTTERFILES PINK,8,2010-12-01 15:06:00,4.25,12921,United Kingdom,34.0
536562,37446,MINI CAKE STAND WITH HANGING CAKES,8,2010-12-01 15:08:00,1.45,13468,United Kingdom,11.6
536569,22113,GREY HEART HOT WATER BOTTLE,1,2010-12-01 15:35:00,3.75,16274,United Kingdom,3.75
536569,22731,3D CHRISTMAS STAMPS STICKERS ,2,2010-12-01 15:35:00,1.25,16274,United Kingdom,2.5
536576,85099B,JUMBO BAG RED RETROSPOT,30,2010-12-01 16:11:00,1.65,13777,United Kingdom,49.5
536577,22147,FELTCRAFT BUTTERFLY HEARTS,40,2010-12-01 16:13:00,1.25,13777,United Kingdom,50.0
536579,21232,STRAWBERRY CERAMIC TRINKET BOX,216,2010-12-01 16:16:00,1.06,13777,United Kingdom,228.96
536580,22972,CHILDRENS SPACEBOY MUG,12,2010-12-01 16:17:00,1.65,17690,United Kingdom,19.8
536582,22025,RING OF ROSES BIRTHDAY CARD,12,2010-12-01 16:21:00,0.42,12947,United Kingdom,5.04
536587,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-12-01 16:33:00,1.25,14142,United Kingdom,15.0
536590,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,4,2010-12-01 16:52:00,3.25,13065,United Kingdom,13.0
536591,21427,SKULLS STORAGE BOX SMALL,1,2010-12-01 16:57:00,2.1,14606,United Kingdom,2.1
536594,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 17:22:00,2.95,15235,United Kingdom,17.700000000000003
536597,21704,BAG 250g SWIRLY MARBLES,1,2010-12-01 17:35:00,0.85,18011,United Kingdom,0.85
536608,22962,JAM JAR WITH PINK LID,12,2010-12-02 09:37:00,0.85,12855,United Kingdom,10.2
536612,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 09:44:00,2.1,17850,United Kingdom,12.6
536612,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-02 09:44:00,1.06,17850,United Kingdom,6.36
536613,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2010-12-02 09:44:00,2.95,17855,United Kingdom,17.700000000000003
536613,21790,VINTAGE SNAP CARDS,12,2010-12-02 09:44:00,0.85,17855,United Kingdom,10.2
536617,72741,GRAND CHOCOLATECANDLE,144,2010-12-02 10:17:00,1.25,13941,United Kingdom,180.0
536620,85049E,SCANDINAVIAN REDS RIBBONS,12,2010-12-02 10:27:00,1.25,14135,United Kingdom,15.0
536620,21060,PARTY INVITES BALLOON GIRL,12,2010-12-02 10:27:00,0.85,14135,United Kingdom,10.2
536623,22697,GREEN REGENCY TEACUP AND SAUCER,12,2010-12-02 10:39:00,2.95,15601,United Kingdom,35.400000000000006
536623,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",24,2010-12-02 10:39:00,0.85,15601,United Kingdom,20.4
536623,22974,CHILDRENS DOLLY GIRL MUG,12,2010-12-02 10:39:00,1.65,15601,United Kingdom,19.8
536623,22037,ROBOT BIRTHDAY CARD,12,2010-12-02 10:39:00,0.42,15601,United Kingdom,5.04
536627,22699,ROSES REGENCY TEACUP AND SAUCER ,12,2010-12-02 10:53:00,2.95,15658,United Kingdom,35.400000000000006
536628,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-02 10:54:00,1.06,17850,United Kingdom,6.36
536632,21875,KINGS CHOICE MUG,12,2010-12-02 11:02:00,1.25,14388,United Kingdom,15.0
536635,21868,POTTING SHED TEA MUG,12,2010-12-02 11:22:00,1.25,15955,United Kingdom,15.0
536638,21538,DAIRY MAID  PUDDING BOWL,4,2010-12-02 11:41:00,3.75,16244,United Kingdom,15.0
536673,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,96,2010-12-02 12:11:00,0.64,14060,United Kingdom,61.44
536693,22633,HAND WARMER UNION JACK,6,2010-12-02 12:26:00,1.85,17850,United Kingdom,11.1
536732,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2010-12-02 12:47:00,2.95,15544,United Kingdom,17.700000000000003
536744,22956,36 FOIL HEART CAKE CASES,6,2010-12-02 13:36:00,2.1,14466,United Kingdom,12.6
536746,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-02 13:39:00,1.45,16510,United Kingdom,17.4
536746,22768,FAMILY PHOTO FRAME CORNICE,2,2010-12-02 13:39:00,9.95,16510,United Kingdom,19.9
536749,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2010-12-02 13:49:00,0.55,17976,United Kingdom,1.1
536752,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-02 14:06:00,2.1,17850,United Kingdom,12.6
536759,79164,BLACK WINE GLASS,12,2010-12-02 14:26:00,1.65,16781,United Kingdom,19.8
536759,48111,DOORMAT 3 SMILEY CATS,4,2010-12-02 14:26:00,7.95,16781,United Kingdom,31.8
536759,21781,MA CAMPAGNE CUTLERY BOX,1,2010-12-02 14:26:00,14.95,16781,United Kingdom,14.95
536762,21481,FAWN BLUE HOT WATER BOTTLE,12,2010-12-02 14:40:00,2.95,16186,United Kingdom,35.400000000000006
536777,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2010-12-02 15:00:00,0.65,15732,United Kingdom,15.6
536782,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,2010-12-02 15:18:00,1.25,17567,United Kingdom,15.0
536782,21527,RED RETROSPOT TRADITIONAL TEAPOT ,2,2010-12-02 15:18:00,7.95,17567,United Kingdom,15.9
536783,22536,MAGIC DRAWING SLATE PURDEY,48,2010-12-02 15:19:00,0.36,15061,United Kingdom,17.28
536784,22630,DOLLY GIRL LUNCH BOX,36,2010-12-02 15:20:00,1.65,15061,United Kingdom,59.4
536787,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-02 15:24:00,1.06,17850,United Kingdom,6.36
536793,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-02 15:39:00,3.75,16203,United Kingdom,15.0
536796,22902,TOTE BAG I LOVE LONDON,1,2010-12-02 15:46:00,2.1,15574,United Kingdom,2.1
536796,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2010-12-02 15:46:00,2.55,15574,United Kingdom,2.55
536798,21166,COOK WITH WINE METAL SIGN ,12,2010-12-02 15:55:00,1.95,17838,United Kingdom,23.4
536798,21877,HOME SWEET HOME MUG,6,2010-12-02 15:55:00,1.25,17838,United Kingdom,7.5
536799,85099B,JUMBO BAG RED RETROSPOT,3,2010-12-02 16:00:00,1.95,17228,United Kingdom,5.85
536800,22031,BOTANICAL LAVENDER BIRTHDAY CARD,12,2010-12-02 16:12:00,0.42,14829,United Kingdom,5.04
536800,22099,CARAVAN SQUARE TISSUE BOX,12,2010-12-02 16:12:00,1.25,14829,United Kingdom,15.0
536802,22779,WOODEN OWLS LIGHT GARLAND ,8,2010-12-02 16:29:00,4.25,17412,United Kingdom,34.0
536802,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2010-12-02 16:29:00,1.65,17412,United Kingdom,19.8
536805,21069,VINTAGE BILLBOARD TEA MUG,12,2010-12-02 16:38:00,1.25,14775,United Kingdom,15.0
536808,22570,FELTCRAFT CUSHION RABBIT,12,2010-12-02 16:46:00,3.75,17659,United Kingdom,45.0
536813,72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,12,2010-12-02 16:59:00,1.25,15646,United Kingdom,15.0
536821,21238,RED RETROSPOT CUP,5,2010-12-02 17:17:00,0.85,17757,United Kingdom,4.25
536832,22763,KEY CABINET MA CAMPAGNE,2,2010-12-02 17:41:00,9.95,16634,United Kingdom,19.9
536836,21154,RED RETROSPOT OVEN GLOVE ,2,2010-12-02 18:08:00,1.25,18168,United Kingdom,2.5
536836,22633,HAND WARMER UNION JACK,4,2010-12-02 18:08:00,2.1,18168,United Kingdom,8.4
536846,20974,12 PENCILS SMALL TUBE SKULL,1,2010-12-02 19:59:00,0.65,14573,United Kingdom,0.65
536856,79000,MOROCCAN TEA GLASS,12,2010-12-03 10:26:00,0.85,13370,United Kingdom,10.2
536857,85049G,CHOCOLATE BOX RIBBONS ,4,2010-12-03 10:33:00,1.25,16883,United Kingdom,5.0
536860,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2010-12-03 10:43:00,4.95,16905,United Kingdom,14.85
536863,10002,INFLATABLE POLITICAL GLOBE ,1,2010-12-03 11:19:00,0.85,17967,United Kingdom,0.85
536874,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,1,2010-12-03 11:35:00,0.85,16891,United Kingdom,0.85
536945,37464,ROBOT MUG IN DISPLAY BOX,1,2010-12-03 12:24:00,1.25,14083,United Kingdom,1.25
536947,21539,RED RETROSPOT BUTTER DISH,3,2010-12-03 12:29:00,4.95,13013,United Kingdom,14.85
536970,22423,REGENCY CAKESTAND 3 TIER,120,2010-12-03 13:12:00,10.95,17949,United Kingdom,1314.0
536975,22121,NOEL WOODEN BLOCK LETTERS ,12,2010-12-03 14:04:00,5.45,14911,EIRE,65.4
536975,79321,CHILLI LIGHTS,4,2010-12-03 14:04:00,4.95,14911,EIRE,19.8
536975,22848,BREAD BIN DINER STYLE PINK,2,2010-12-03 14:04:00,16.95,14911,EIRE,33.9
536975,21484,CHICK GREY HOT WATER BOTTLE,4,2010-12-03 14:04:00,3.45,14911,EIRE,13.8
536977,21086,SET/6 RED SPOTTY PAPER CUPS,10,2010-12-03 14:18:00,0.65,17954,United Kingdom,6.5
536976,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-03 14:18:00,2.95,14723,United Kingdom,20.65
536976,21479,WHITE SKULL HOT WATER BOTTLE ,2,2010-12-03 14:18:00,3.75,14723,United Kingdom,7.5
536981,85136A,YELLOW SHARK HELICOPTER,1,2010-12-03 14:26:00,7.95,14723,United Kingdom,7.95
536984,22110,BIRD HOUSE HOT WATER BOTTLE,1,2010-12-03 14:35:00,2.55,17841,United Kingdom,2.55
536987,22940,FELTCRAFT CHRISTMAS FAIRY,1,2010-12-03 14:54:00,4.25,17198,United Kingdom,4.25
536990,20726,LUNCH BAG WOODLAND,10,2010-12-03 15:14:00,1.65,12793,Portugal,16.5
536993,21329,DINOSAURS  WRITING SET ,1,2010-12-03 15:19:00,1.65,14396,United Kingdom,1.65
536993,20726,LUNCH BAG WOODLAND,1,2010-12-03 15:19:00,1.65,14396,United Kingdom,1.65
536993,22867,HAND WARMER BIRD DESIGN,1,2010-12-03 15:19:00,2.1,14396,United Kingdom,2.1
537023,48187,DOORMAT NEW ENGLAND,1,2010-12-03 16:02:00,7.95,16725,United Kingdom,7.95
537030,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,8,2010-12-03 16:44:00,3.75,16455,United Kingdom,30.0
537034,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2010-12-03 17:20:00,3.75,13081,United Kingdom,45.0
537034,20829,GLITTER HANGING BUTTERFLY STRING,8,2010-12-03 17:20:00,2.1,13081,United Kingdom,16.8
537036,21360,JOY LARGE WOOD LETTERS,1,2010-12-03 17:28:00,9.95,15545,United Kingdom,9.95
537036,85049E,SCANDINAVIAN REDS RIBBONS,1,2010-12-03 17:28:00,1.25,15545,United Kingdom,1.25
537037,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-05 10:03:00,2.95,17243,United Kingdom,23.6
537038,21755,LOVE BUILDING BLOCK WORD,3,2010-12-05 10:12:00,5.95,15465,United Kingdom,17.85
537047,21892,TRADITIONAL WOODEN CATCH CUP GAME ,2,2010-12-05 11:02:00,1.25,13069,United Kingdom,2.5
537047,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,5,2010-12-05 11:02:00,0.85,13069,United Kingdom,4.25
537050,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,2,2010-12-05 11:10:00,1.25,14800,United Kingdom,2.5
537057,22728,ALARM CLOCK BAKELIKE PINK,1,2010-12-05 11:49:00,3.75,15351,United Kingdom,3.75
537065,84870B,BLUE GEISHA GIRL ,4,2010-12-05 11:57:00,3.75,12567,France,15.0
537077,21494,ROTATING LEAVES T-LIGHT HOLDER,12,2010-12-05 11:59:00,1.25,17062,United Kingdom,15.0
537086,21429,RED GINGHAM ROSE JEWELLERY BOX,16,2010-12-05 12:01:00,1.65,15332,Lithuania,26.4
537126,22501,PICNIC BASKET WICKER LARGE,2,2010-12-05 12:13:00,9.95,18118,United Kingdom,19.9
537126,22064,PINK DOUGHNUT TRINKET POT ,1,2010-12-05 12:13:00,1.65,18118,United Kingdom,1.65
537126,85135B,BLUE DRAGONFLY HELICOPTER,1,2010-12-05 12:13:00,7.95,18118,United Kingdom,7.95
537126,21154,RED RETROSPOT OVEN GLOVE ,5,2010-12-05 12:13:00,1.25,18118,United Kingdom,6.25
537128,85199S,SMALL HANGING IVORY/RED WOOD BIRD,12,2010-12-05 12:15:00,0.42,12841,United Kingdom,5.04
537133,22899,CHILDREN'S APRON DOLLY GIRL ,2,2010-12-05 12:29:00,2.1,18156,United Kingdom,4.2
537133,22272,FELTCRAFT DOLL MARIA,1,2010-12-05 12:29:00,2.95,18156,United Kingdom,2.95
537134,21802,CHRISTMAS TREE HEART DECORATION,36,2010-12-05 12:34:00,0.42,16983,United Kingdom,15.12
537135,85227,SET OF 6 3D KIT CARDS FOR KIDS,2,2010-12-05 12:35:00,0.85,17059,United Kingdom,1.7
537135,22110,BIRD HOUSE HOT WATER BOTTLE,2,2010-12-05 12:35:00,2.55,17059,United Kingdom,5.1
537135,21034,REX CASH+CARRY JUMBO SHOPPER,2,2010-12-05 12:35:00,0.95,17059,United Kingdom,1.9
537135,82582,AREA PATROLLED METAL SIGN,4,2010-12-05 12:35:00,2.1,17059,United Kingdom,8.4
537136,22694,WICKER STAR ,1,2010-12-05 12:42:00,2.1,12748,United Kingdom,2.1
537137,21157,RED RETROSPOT WASHBAG,11,2010-12-05 12:43:00,2.1,16327,United Kingdom,23.1
537137,22175,PINK OWL SOFT TOY,1,2010-12-05 12:43:00,2.95,16327,United Kingdom,2.95
537137,22728,ALARM CLOCK BAKELIKE PINK,1,2010-12-05 12:43:00,3.75,16327,United Kingdom,3.75
537139,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-05 12:47:00,12.75,17026,United Kingdom,12.75
537140,21650,ASSORTED TUTTI FRUTTI BRACELET,3,2010-12-05 12:53:00,0.65,12748,United Kingdom,1.95
537140,22488,NATURAL SLATE RECTANGLE CHALKBOARD,1,2010-12-05 12:53:00,1.65,12748,United Kingdom,1.65
537141,21485,RETROSPOT HEART HOT WATER BOTTLE,4,2010-12-05 12:57:00,4.95,15570,United Kingdom,19.8
537144,22197,SMALL POPCORN HOLDER,4,2010-12-05 13:00:00,0.85,15880,United Kingdom,3.4
537144,22759,SET OF 3 NOTEBOOKS IN PARCEL,3,2010-12-05 13:00:00,1.65,15880,United Kingdom,4.949999999999999
537144,22480,RED TEA TOWEL CLASSIC DESIGN,2,2010-12-05 13:00:00,1.25,15880,United Kingdom,2.5
537144,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2010-12-05 13:00:00,2.1,15880,United Kingdom,2.1
537153,22955,36 FOIL STAR CAKE CASES ,1,2010-12-05 13:03:00,2.1,16718,United Kingdom,2.1
537155,21544,SKULLS  WATER TRANSFER TATTOOS ,1,2010-12-05 13:05:00,0.85,12748,United Kingdom,0.85
537154,79321,CHILLI LIGHTS,4,2010-12-05 13:05:00,4.95,15808,United Kingdom,19.8
537159,22898,CHILDRENS APRON APPLES DESIGN,2,2010-12-05 13:17:00,1.95,14527,United Kingdom,3.9
537160,22865,HAND WARMER OWL DESIGN,1,2010-12-05 13:18:00,2.1,14161,United Kingdom,2.1
537179,22111,SCOTTIE DOG HOT WATER BOTTLE,18,2010-12-05 13:29:00,4.95,13767,United Kingdom,89.10000000000001
537192,22358,KINGS CHOICE TEA CADDY ,1,2010-12-05 13:42:00,2.95,16402,United Kingdom,2.95
537192,85187,S/12 MINI RABBIT EASTER,1,2010-12-05 13:42:00,1.65,16402,United Kingdom,1.65
537195,21504,SKULLS GREETING CARD,12,2010-12-05 13:55:00,0.42,15311,United Kingdom,5.04
537195,22637,PIGGY BANK RETROSPOT ,4,2010-12-05 13:55:00,2.55,15311,United Kingdom,10.2
537196,85129B,BEADED CRYSTAL HEART GREEN SMALL,2,2010-12-05 13:55:00,1.25,15426,United Kingdom,2.5
537200,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,2010-12-05 14:17:00,1.25,15867,United Kingdom,1.25
537201,22602,CHRISTMAS RETROSPOT HEART WOOD,12,2010-12-05 14:19:00,0.85,12472,Germany,10.2
537204,22576,SWALLOW WOODEN CHRISTMAS DECORATION,5,2010-12-05 14:45:00,0.85,15555,United Kingdom,4.25
537209,21467,CHERRY CROCHET FOOD COVER,1,2010-12-05 15:12:00,3.75,14606,United Kingdom,3.75
537209,85114C,RED ENCHANTED FOREST PLACEMAT,2,2010-12-05 15:12:00,1.65,14606,United Kingdom,3.3
537218,22751,FELTCRAFT PRINCESS OLIVIA DOLL,8,2010-12-05 15:46:00,3.75,12763,Japan,30.0
537219,21531,RED RETROSPOT SUGAR JAM BOWL,1,2010-12-05 15:47:00,2.55,14081,United Kingdom,2.55
537219,22818,CARD CHRISTMAS VILLAGE,36,2010-12-05 15:47:00,0.42,14081,United Kingdom,15.12
537224,21192,WHITE BELL HONEYCOMB PAPER ,3,2010-12-05 16:24:00,1.65,13174,United Kingdom,4.949999999999999
537224,21695,SMALL SILVER FLOWER CANDLE POT,6,2010-12-05 16:24:00,2.95,13174,United Kingdom,17.700000000000003
537224,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-05 16:24:00,9.95,13174,United Kingdom,19.9
537225,22077,6 RIBBONS RUSTIC CHARM,1,2010-12-05 16:41:00,1.65,12748,United Kingdom,1.65
537225,22905,CALENDAR IN SEASON DESIGN,5,2010-12-05 16:41:00,2.95,12748,United Kingdom,14.75
537225,84531B,BLUE KNITTED EGG COSY,3,2010-12-05 16:41:00,1.95,12748,United Kingdom,5.85
537231,22114,HOT WATER BOTTLE TEA AND SYMPATHY,4,2010-12-06 09:21:00,3.95,13652,United Kingdom,15.8
537238,22652,TRAVEL SEWING KIT,20,2010-12-06 10:03:00,1.65,16161,United Kingdom,33.0
537239,22767,TRIPLE PHOTO FRAME CORNICE ,2,2010-12-06 10:05:00,9.95,18219,United Kingdom,19.9
537241,22637,PIGGY BANK RETROSPOT ,8,2010-12-06 10:18:00,2.55,14293,United Kingdom,20.4
537242,48194,DOORMAT HEARTS,2,2010-12-06 10:19:00,7.95,14748,United Kingdom,15.9
537243,22632,HAND WARMER RED RETROSPOT,12,2010-12-06 10:19:00,2.1,16638,United Kingdom,25.200000000000003
537244,84375,SET OF 20 KIDS COOKIE CUTTERS,24,2010-12-06 10:20:00,2.1,17674,United Kingdom,50.400000000000006
537254,37479B,CUBIC MUG FLOCK BLUE ON BROWN,1,2010-12-06 11:01:00,2.55,15898,United Kingdom,2.55
537254,22606,WOODEN SKITTLES GARDEN SET,1,2010-12-06 11:01:00,15.95,15898,United Kingdom,15.95
537265,84509B,SET OF 4 FAIRY CAKE PLACEMATS,2,2010-12-06 11:26:00,3.75,15919,United Kingdom,7.5
537265,22476,EMPIRE UNION JACK TV DINNER TRAY,1,2010-12-06 11:26:00,4.95,15919,United Kingdom,4.95
537262,22158,3 HEARTS HANGING DECORATION RUSTIC,8,2010-12-06 11:26:00,2.95,15039,United Kingdom,23.6
537262,22633,HAND WARMER UNION JACK,3,2010-12-06 11:26:00,2.1,15039,United Kingdom,6.300000000000001
537262,22632,HAND WARMER RED RETROSPOT,3,2010-12-06 11:26:00,2.1,15039,United Kingdom,6.300000000000001
537262,85099B,JUMBO BAG RED RETROSPOT,10,2010-12-06 11:26:00,1.95,15039,United Kingdom,19.5
537312,22192,BLUE DINER WALL CLOCK,2,2010-12-06 11:42:00,8.5,14189,United Kingdom,17.0
537334,22486,PLASMATRONIC LAMP,2,2010-12-06 12:06:00,12.75,16719,United Kingdom,25.5
537351,40016,CHINESE DRAGON PAPER LANTERNS,24,2010-12-06 12:23:00,0.42,16898,United Kingdom,10.08
537350,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,192,2010-12-06 12:23:00,0.72,14708,United Kingdom,138.24
537369,47504K,ENGLISH ROSE GARDEN SECATEURS,1,2010-12-06 12:41:00,1.95,17860,United Kingdom,1.95
537369,22467,GUMBALL COAT RACK,2,2010-12-06 12:41:00,2.55,17860,United Kingdom,5.1
537374,22633,HAND WARMER UNION JACK,2,2010-12-06 12:55:00,2.1,17259,United Kingdom,4.2
537375,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,2,2010-12-06 12:55:00,3.75,17019,United Kingdom,7.5
537378,22571,ROCKING HORSE RED CHRISTMAS ,36,2010-12-06 13:06:00,0.85,14911,EIRE,30.6
537382,84692,BOX OF 24 COCKTAIL PARASOLS,6,2010-12-06 13:13:00,0.42,16710,United Kingdom,2.52
537382,22728,ALARM CLOCK BAKELIKE PINK,1,2010-12-06 13:13:00,3.75,16710,United Kingdom,3.75
537389,22632,HAND WARMER RED RETROSPOT,5,2010-12-06 13:41:00,2.1,17757,United Kingdom,10.5
537393,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2010-12-06 13:59:00,9.95,13089,United Kingdom,19.9
537395,22085,PAPER CHAIN KIT SKULLS ,1,2010-12-06 14:05:00,2.95,15356,United Kingdom,2.95
537395,21904,HOUSE WRECKING METAL SIGN ,1,2010-12-06 14:05:00,2.1,15356,United Kingdom,2.1
537399,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2010-12-06 14:31:00,1.95,13030,United Kingdom,3.9
537399,22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,1,2010-12-06 14:31:00,4.25,13030,United Kingdom,4.25
537405,22580,ADVENT CALENDAR GINGHAM SACK,1,2010-12-06 14:51:00,5.95,17841,United Kingdom,5.95
537407,22926,IVORY GIANT GARDEN THERMOMETER,4,2010-12-06 14:55:00,5.95,15502,United Kingdom,23.8
537422,21623,VINTAGE UNION JACK MEMOBOARD,1,2010-12-06 15:27:00,9.95,17812,United Kingdom,9.95
537435,21877,HOME SWEET HOME MUG,6,2010-12-06 16:58:00,1.25,17920,United Kingdom,7.5
537441,22835,HOT WATER BOTTLE I AM SO POORLY,2,2010-12-06 17:26:00,4.65,13564,United Kingdom,9.3
537446,21135,VICTORIAN  METAL POSTCARD SPRING,8,2010-12-07 09:13:00,1.69,18055,United Kingdom,13.52
537447,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2010-12-07 09:21:00,2.95,13963,United Kingdom,17.700000000000003
537457,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-07 09:51:00,2.55,17511,United Kingdom,81.6
537458,22866,HAND WARMER SCOTTY DOG DESIGN,24,2010-12-07 09:55:00,2.1,17091,United Kingdom,50.400000000000006
